Ticker,EA,BIDU,SPOT,URBN,PVH,HD,IRBT,EXPE,YETI,STZ,COST,PXD,EOG,BLK,JPM,SIVB,ALXN,BIIB,ABMD,CI,QDEL,SUPN,BA,XPO,CAT,URI,CRM,ADBE,LITE,MU,AVGO,MPWR,PANW,PKG,JLL
Name,Electronic Arts Inc,Baidu Inc,Spotify Technology SA,Urban Outfitters Inc,PVH Corp,Home Depot Inc,iRobot Corp,Expedia Group Inc,Yeti Holdings Inc,Constellation Brands Inc,Costco Wholesale Corp,Pioneer Natural Resources Co,EOG Resources Inc,BlackRock Inc,JPMorgan Chase & Co,SVB Financial Group,Alexion Pharmaceuticals Inc,Biogen Inc,Abiomed Inc,Cigna Corp,Quidel Corp,Supernus Pharmaceuticals Inc,Boeing Co,XPO Logistics Inc,Caterpillar Inc,United Rentals Inc,Salesforce.com Inc,Adobe Inc,Lumentum Holdings Inc,Micron Technology Inc,Broadcom Inc,Monolithic Power Systems Inc,Palo Alto Networks Inc,Packaging Corp of America,Jones Lang LaSalle Inc
6/6/2018,-0.000146065,0.015231906,0.004122163,0.008401616,0.021371732,0.008596374,0.036862865,0.018555495,0,-0.004039668,-0.000909812,-0.000941617,-0.003774264,0.038306691,0.023368001,0.015343533,0.011150252,0.017110852,0.011339206,0.024000382,-0.003085069,-0.008159583,0.031824505,0.018802914,0.022874298,0.005673548,0.010662154,0.004946577,0.009046036,0.000168288,0.016431361,0.010533459,-0.004316712,0.0159372,0.008214408
6/5/2018,0.017080075,-0.00352619,0.013081158,0.049988669,0.007069998,0.003030909,0.008567885,0.010935405,0,-0.002479685,-0.003927181,0.002675054,-0.017611817,-0.011633731,-0.005624718,-0.002566278,-0.00417432,-0.000903245,-0.000418842,-0.00099412,-0.006741152,-0.049956883,-0.001746502,0.000186165,0.003344295,0.015928056,0.011081802,-0.002526245,0.003300347,0.005245381,0.003444748,0.008019016,-0.020327719,0.005813896,0.011094216
6/4/2018,-0.007590817,0.050068368,0.022544567,0.032943926,0.005473131,0.021403753,0.025576667,-0.00949835,0,0.013827159,0.00755846,-0.006565573,0.002703786,0.002986611,0.000461177,0.005633645,0.006470019,0.006126117,0.034646261,0.001053688,0.018888527,0.006065823,0.011241287,0.00693734,-0.006644051,-0.011759649,0.016319261,0.008077665,-0.011419266,0.006128634,0.007919111,0.01035246,-0.005258406,0.002999066,0.010599235
6/1/2018,0.036513619,0.024323916,0.009701337,0.030332161,-0.006500061,0.004288561,0.021150457,-0.008345121,0,-0.001479292,-0.005599177,-0.006162634,0.004583548,0.009041187,0.012989501,0.017941261,0.024799837,0.010647725,0.029149353,0.008561228,0.021690542,0.023957463,0.012948668,0.013491667,0.010598394,0.023187296,0.009201283,0.008143449,0.043404238,0.019968779,0.016939736,0.011304293,0.005286203,0.021617097,-0.003297443
5/31/2018,-0.003501492,0.003848831,0.008504936,-0.003597937,0.028938986,-0.002886403,-0.044257318,0.025591034,0,-0.007827772,-0.007012621,-0.017902526,-0.016282476,-0.000112343,-0.012367379,-0.009048212,-0.003004859,-0.001494575,-0.019121373,-0.022790298,0.000319097,-0.017436792,-0.016834639,-0.037142055,-0.02283542,-0.017244492,0.000232011,0.00759905,-0.019198697,-0.079590858,0.010705734,-0.01516728,-0.007535661,-0.007769089,-0.00383241
5/30/2018,0.000914248,-0.00173517,0.01138281,-0.000239856,0.002514367,0.016959353,0.007094495,0.006396042,0,0.02320925,0.014740209,0.030071218,0.030548109,0.019131745,0.022845247,0.026026976,0.006480601,0.025462392,0.003020168,0.004287882,0.027709427,0.02319356,0.016199437,0.020349118,0.011977588,0.011903203,0.019073188,0.021512003,-0.048451135,-0.000798451,-0.001161479,0.017484975,0.008756276,0.001522396,0.005997145
5/29/2018,-0.004550671,-0.007178015,-0.012643748,-0.011614079,-0.017171586,-0.009900977,0.033636155,-0.004837439,0,0.01351414,-0.008166977,0.001258913,-0.013162358,-0.028446564,-0.042743568,-0.039034625,-0.017071471,0.003074683,-0.017449541,-0.018874325,-0.003431356,-0.020960716,-0.021133582,-0.015439767,-0.01430862,-0.009139156,-0.008440153,-0.005624881,-0.006314081,0.020700913,-0.001359879,-0.001290835,-0.006880343,-0.013598127,-0.039160363
5/25/2018,0.002814192,0.014649592,0.0130022,0,-0.004541259,-0.001602989,0.005449607,0.007180093,0,-0.000691297,-0.002664717,-0.013403684,-0.01850307,-0.002255732,-0.005124433,-0.008780967,0.005122068,0.006328846,-0.0004563,0.000284243,-0.011308578,0.028751086,0.003036193,-0.00584741,-0.011731195,-0.032674284,-0.006058769,-0.006485809,0.016853917,-0.002276858,0.026690858,0.008576485,0.000669371,-0.016410929,-0.006368327
5/24/2018,-0.015131116,-0.00045759,0.001425154,0.034068628,0.003163748,0.00257131,0.00840472,0.015273763,0,0.001754552,0.003785134,-0.031428562,-0.024394197,-0.003372133,-0.011200986,-0.004355894,-0.008380581,0.002326005,-0.002680011,-0.007002021,-0.013388587,0.012738871,-0.000584602,0.016343161,-0.000253689,-0.002145795,0.005074627,0.005083801,-0.015797789,0.025346023,0.012346155,-0.000994356,0.010288812,-0.004574037,0.001228566
5/23/2018,0.009986436,0.00175021,0.026191599,-0.009949042,0.022118658,-0.001070237,-0.020424335,-0.006552242,0,0.003056627,-0.004171383,-0.015689754,-0.006302586,-0.007716495,-0.004601336,-0.001880873,-0.007394378,0.014516064,0.023734911,-0.000846308,0.007871518,0.007332759,0.011802233,-0.009838176,0.009859326,0.005935994,0.02112559,0.021441481,0.000790498,0.015924141,0.00867961,0.009109153,0.013164988,-0.003013026,0.004642625
5/22/2018,-0.005492521,-0.002245204,0.001397896,-0.025537999,0.000517652,-0.015385395,0.004293226,-0.000601643,0,-0.015592195,-0.003256258,-0.034121255,-0.028952473,0.006255968,0.007668256,0.006548684,-0.003015841,0.007274783,0.018936078,-0.001183417,-0.019376181,-0.008181836,-0.02445605,-0.014051274,-0.017115493,-0.040280815,-0.007359349,0.002897887,0.012,0.063987004,-0.002342653,-0.001772461,-0.011465869,0.00408832,-0.008565017
5/21/2018,0.00689397,-0.049405163,-0.003846167,0.000473172,-0.003674763,0.012645385,0.007368236,0.01121062,0,-0.004357837,0.003317189,0.000953971,0.013196599,0.009266555,0.009178531,0.00130528,-0.014041439,-0.009736024,-0.013502894,-0.00348183,-0.007659856,-0.019607808,0.036130213,0.017619889,0.020614984,0.02331876,-0.004647101,4.20429E-05,0.001602532,0.039145927,0.012966747,0.00643706,0.024535301,0.009242439,0.011253938
5/18/2018,0.009097179,-0.095358977,-0.050138525,-0.011459262,-0.007232539,0.011277134,-0.007156504,-0.005187133,0,-0.008327516,-0.003206454,-0.012575946,-0.002853742,0.005433289,-0.01620047,-0.004886152,-0.000660355,-0.000605956,0.011633371,-0.004695115,0.011383415,-0.007079681,0.020601996,0.019180152,0.01314351,-0.003169723,0.007219325,0.005235339,-0.005577657,-0.023948848,-0.014449882,0.001398046,0.008649115,0.007063926,0.005390621
5/17/2018,-0.000382111,-0.015453986,-0.016295954,0.010396928,0.00663611,-0.005633677,0.009147809,0.00069207,0,0.003115571,0.004478934,0.030230994,0.038271579,0.003146577,-0.003352686,0.003942963,0.001239686,-0.003339146,-0.005314551,0.009935156,0.027619838,-0.031705194,0.009297131,0.004913124,-0.000715265,0.005192383,-0.021122939,-0.002274708,-0.014139858,-0.031858389,-0.004407175,0.007748344,0.001201346,0.010836691,-0.001183355
5/16/2018,0.005764353,0.044682235,0.016886093,0.037254927,0.004127542,-0.008511548,0.017140108,0.013947403,0,-0.001397794,0.016523504,0.014922429,0.010563119,0.001294254,0.00274263,0.002489922,-0.004524911,0.019742129,0.004259222,0.00619109,0.022935035,0.004302926,-0.003361318,-0.007781026,0.007929776,0.023739009,0.004994919,0.003338939,0.001573611,0.046102612,-0.00442926,0.012199858,-0.012163795,0.035760924,0.009473843
5/15/2018,-0.018260002,-0.001248795,-0.007876439,0.003937008,0.00187917,-0.016223478,-0.016693435,-0.005582736,0,-0.000225478,-0.002042135,0.007092569,0.013060316,-0.01213511,-0.007638425,0.006547609,-0.01058197,-0.022242679,0.012457723,-0.008336186,0.001664691,0.016622852,-0.007167991,-0.012954585,-0.017323379,-6.03709E-05,0.003445869,-0.007425385,-0.014728698,0.019056566,-0.012992267,0.000475576,0.010694647,-0.015335927,-0.009092412
5/14/2018,-0.002108267,0.008706628,0.020412049,0.019057121,0.007376554,0.004046015,-0.000962187,0.006408546,0,0.007219793,0.000612982,-0.002720457,0.010816698,-0.001239824,0.000351414,-0.005669357,0.026658816,-0.000177127,0.008023023,0.021930567,0.038913871,0.001752901,0.006219711,-0.009168424,0.002712059,-0.007969327,-0.022506338,-0.014511369,0.022187037,0.022771131,0.005670103,-0.003081545,-0.01092379,0.00085752,-0.008198289
5/11/2018,-0.007102251,0.004577978,-0.008600525,0.020470802,0.001241888,0.01683052,0.006943339,-0.000175552,0,-0.000726008,0.001586159,-0.005019927,-0.012946529,0.007776209,-0.003762444,0.002310447,0.03039703,0.030620493,0.01030142,0.015608612,0.006090116,0.143286507,-0.004679318,0.005253456,0.005780207,0.00318585,7.66345E-05,0.003027207,-0.00394633,-0.015951386,-0.000533855,-0.016398492,-0.017387931,0.003528145,-0.009569637
5/10/2018,0.020990765,0.028282689,0.053708254,-0.017843654,-0.00039194,0.004292645,-0.002094763,0.015237937,0,-0.007118119,-0.000102208,0.008286964,0.00984805,0.009240812,0.007759505,0.009964695,-0.00548086,-0.000109473,0.02993076,0.008727394,-0.044555294,0.040667382,0.00373405,0.020408144,0.008911689,0.02488907,0.006860395,0.005881325,-0.004713338,0.032346639,0.022936286,0.01981449,-0.003484836,0.006582921,-0.003525367
5/9/2018,0.057470305,-0.006841716,-0.003783802,0.019994951,0.00889843,0.007133728,-0.003372394,0.01519816,0,0.005663248,0.008021263,0.019580142,0.021684332,0.021964336,0.021803731,0.014037617,0.015832971,0.015941823,0.031032296,-0.006561187,0.099835493,0.073908149,0.018116261,0.008249602,0.017875068,0.018766114,0.007611619,0.022083932,0.001573611,0.05023673,-0.003349328,0.016598196,0.02383547,0.014855812,-0.019271039
5/8/2018,-0.000242084,0.036195361,0.00426666,0.013773337,0.001254018,0.008062697,0.008257805,-0.00369535,0,-0.010455728,0.007355349,0.009448358,0.012292695,-0.007009173,0.014812089,0.017603813,-0.029220563,0.000111231,-0.000546658,-0.010950829,-0.048704173,-0.009977739,-0.006051093,0.011121725,0.000734053,-0.001003216,0.014019052,0.015455184,0.034174092,0.001856436,0.0122049,0.002180236,0.016419916,-0.002979776,0.035326473
5/7/2018,0.002264631,0.008620339,-0.027615682,-0.005941591,-0.004925551,-0.007944663,0.028990303,0.007537181,0,0.01138832,-0.010912622,0.008290794,-0.006715562,0.006149014,0.00866921,0.004904846,0.013697509,-0.00236733,-0.004895763,0.008295815,-0.00104252,-0.016357689,0.017940937,0.030225257,0.023570509,0.040853679,0.014785789,0.010852961,0.04240882,0.018915468,0.023642178,-0.000242179,0.0162776,-0.000438074,-0.00733966
5/4/2018,0.028875768,-0.002891591,-0.038159433,-0.020991451,0.005347974,0.010044271,0.049667716,-0.01042413,0,-0.012451562,0.011294772,0.010669435,-0.011636934,0.017061796,0.011096652,0.007710544,0.025908984,0.014637419,0.040855833,-0.00989124,0.009826232,-0.006500628,0.011309653,0.013109156,0.018013591,0.022897149,0.005706929,0.010882513,0.005972748,0.020592085,0.023396344,0.02993256,0.010030002,0.004134444,0.011072478
5/3/2018,0.010341315,0.010648535,-0.056588206,-0.006782215,-0.005254056,-0.014630735,-0.019379197,-0.02752777,0,-0.012037039,-0.005103054,-0.021341717,-0.005486517,-0.006060685,-0.006300925,-0.0082677,-0.003326304,-0.028052394,0.11064404,0.003016906,-0.008352166,-0.014941217,0.020049985,0.067742326,-0.000556225,0.003416237,0.012945807,0.022388046,0.001709368,0.015907605,-0.015257581,0.016223127,-0.016625166,0.014184969,-0.007540283
